Valencia,Betis,0,2,03/10/2020
Athletic Club,Levante,2,0,18/10/2020
Alavés,Getafe,0,0,26/09/2020
Athletic Club,Cádiz,0,1,01/10/2020
Villarreal,Valencia,2,1,18/10/2020
Real Sociedad,Valencia,0,1,29/09/2020
Real Madrid,Cádiz,0,1,17/10/2020
Celta de Vigo,Atlético de Madrid,0,2,17/10/2020
Valladolid,Eibar,1,2,03/10/2020
Valladolid,Celta de Vigo,1,1,27/09/2020
Betis,Real Sociedad,0,3,18/10/2020
Real Sociedad,Real Madrid,0,0,20/09/2020
Real Madrid,Valladolid,1,0,30/09/2020
Celta de Vigo,Barcelona,0,3,01/10/2020
Eibar,Osasuna,0,0,18/10/2020
Elche,Real Sociedad,0,3,26/09/2020
Alavés,Betis,0,1,13/09/2020
Cádiz,Granada,1,1,04/10/2020
Eibar,Celta de Vigo,0,0,12/09/2020
Real Sociedad,Getafe,3,0,03/10/2020
Getafe,Barcelona,1,0,17/10/2020
Villarreal,Huesca,1,1,13/09/2020
Elche,Huesca,0,0,03/10/2020
Osasuna,Levante,1,3,27/09/2020
Huesca,Valladolid,2,2,18/10/2020
Valencia,Huesca,1,1,26/09/2020
Valencia,Levante,4,2,13/09/2020
Cádiz,Osasuna,0,2,12/09/2020
Betis,Real Madrid,2,3,26/09/2020
Villarreal,Alavés,3,1,30/09/2020
Alavés,Athletic Club,1,0,04/10/2020
Barcelona,Villarreal,4,0,27/09/2020
Alavés,Elche,0,2,18/10/2020
Atlético de Madrid,Villarreal,0,0,03/10/2020
Eibar,Elche,0,1,30/09/2020
Levante,Real Madrid,0,2,04/10/2020
Sevilla,Levante,1,0,01/10/2020
Huesca,Atlético de Madrid,0,0,30/09/2020
Granada,Sevilla,1,0,17/10/2020
Cádiz,Sevilla,1,3,27/09/2020
Osasuna,Celta de Vigo,2,0,04/10/2020
Villarreal,Eibar,2,1,19/09/2020
Valladolid,Real Sociedad,1,1,13/09/2020
Eibar,Athletic Club,1,2,27/09/2020
Getafe,Betis,3,0,29/09/2020
Granada,Athletic Club,2,0,12/09/2020
Getafe,Osasuna,1,0,19/09/2020
Celta de Vigo,Valencia,2,1,19/09/2020
Atlético de Madrid,Granada,6,1,27/09/2020
Barcelona,Sevilla,1,1,04/10/2020
Betis,Valladolid,2,0,20/09/2020
Huesca,Cádiz,0,2,20/09/2020
Granada,Alavés,2,1,20/09/2020
